# -*- coding: UTF-8 -*-
subject_id,trial,timestamp,img
7,0,1650585855.476066,datasets/GAPED/GAPED/P/P096.bmp
7,1,1650585860.515918,datasets/GAPED/GAPED/Sp/Sp128.bmp
7,2,1650585865.5567732,datasets/GAPED/GAPED/N/N065.bmp
7,3,1650585870.597694,datasets/GAPED/GAPED/A/A050.bmp
8,0,1650586064.475015,datasets/GAPED/GAPED/P/P050.bmp
8,1,1650586069.5208251,datasets/GAPED/GAPED/H/H097.bmp
8,2,1650586074.567678,datasets/GAPED/GAPED/N/N036.bmp
8,3,1650586079.607531,datasets/GAPED/GAPED/N/N066.bmp
8,4,1650586084.635371,datasets/OASIS/images/Picnic 4.jpg
6,0,1650585609.232121,datasets/GAPED/GAPED/Sn/Sn057.bmp
6,1,1650585614.237974,datasets/GAPED/GAPED/Sp/Sp049.bmp
6,2,1650585619.246815,datasets/OASIS/images/Frustrated pose 2.jpg
9,0,1650586426.354464,datasets/OASIS/images/War 4.jpg
9,1,1650586431.383306,datasets/OASIS/images/Nude man 23.jpg
9,2,1650586436.4221408,datasets/GAPED/GAPED/A/A075.bmp
9,3,1650586441.450988,datasets/GAPED/GAPED/Sn/Sn113.bmp
9,4,1650586446.4918358,datasets/GAPED/GAPED/N/N099.bmp
9,5,1650586451.515699,datasets/OASIS/images/Cardboard 1.jpg
9,6,1650586456.557612,datasets/GAPED/GAPED/Sn/Sn080.bmp
